"time" "elev"
0 80
0 40
0 160
0 80
0 80
0 80
0 40
0 440
0 680
0 240
0 120
0 80
0 80
0 80
0 440
0 720
0 480
0 160
0 120
0 120
0 200
0 480
0 480
0 440
0 320
0 280
0 240
0 80
0 320
0 440
0 600
0 440
0 480
0 480
0 360
0 280
0 160
0 280
0 560
0 720
0 440
0 400
0 360
0 520
0 280
0 240
0 320
0 320
0 480
0 560
0 480
0 400
0 400
0 400
0 400
0 280
0 280
0 320
0 440
0 440
0 360
0 360
0 360
0 320
0 240
0 240
0 320
0 400
0 440
0 440
0 440
0 320
0 280
0 120
0 200
0 320
0 320
0 280
0 560
0 320
0 320
0 280
0 80
0 200
0 200
0 240
0 320
0 320
0 280
0 280
0 440
0 0
0 160
0 240
0 320
0 320
0 240
0 280
0 280
0 320
0 280
0 80
0 240
0 360
0 280
0 240
0 240
0 320
0 320
0 320
0 360
0 160
0 120
0 120
0 200
0 160
0 280
0 240
0 360
0 320
0 160
0 160
0 160
0 160
0 160
0 240
0 320
0 320
0 280
0 0
0 160
0 280
0 480
0 280
0 160
0 240
0 320
0 320
0 80
0 160
0 320
0 360
0 320
0 320
0 280
0 80
0 240
0 480
0 400
0 280
0 240
0 240
0 80
0 320
0 320
0 280
0 280
0 240
0 240
0 40
0 200
0 600
0 160
0 280
0 240
0 280
0 280
0 120
0 80
0 160
0 480
0 160
0 200
0 480
0 400
0 320
0 200
0 320
0 160
0 200
0 240
0 440
0 640
0 600
0 480
0 120
0 160
0 120
0 400
0 800
0 680
0 560
0 1040
0 200
0 160
0 160
0 480
0 960
0 920
0 440
0 80
0 40
0 40
0 40
0 680
0 1280
0 440
0 160
0 280
0 520
0 760
0 400
0 0
0 360
0 200
0 240
0 160
0 520
0 520
0 760
0 480
0 720
0 880
0 1320
0 440
0 160
0 560
0 440
0 400
0 160
0 0
0 320
0 560
0 920
0 600
0 240
0 480
0 520
0 760
0 760
0 640
0 920
0 1240
0 600
0 280
0 200
0 600
0 440
0 600
0 560
0 640
0 -40
0 160
0 200
0 360
0 160
0 480
0 640
0 280
0 480
0 360
0 640
0 640
0 680
0 640
0 840
0 1120
0 440
0 240
0 480
0 400
0 320
0 1000
0 1240
0 1480
0 880
0 800
0 320
0 120
0 160
0 160
0 600
0 400
0 320
0 200
0 400
0 640
0 560
0 600
0 680
0 520
0 600
0 600
0 720
0 800
0 920
0 1280
0 600
0 240
0 400
0 480
0 1120
0 1120
0 1160
0 1360
0 1480
0 1880
0 1680
0 1280
0 1160
0 640
0 920
0 880
0 960
0 600
0 640
0 600
0 560
0 520
0 440
0 400
0 440
0 480
0 640
0 720
0 880
0 1160
0 920
0 480
0 360
0 320
0 1120
0 1120
0 1280
0 1360
0 1600
0 1680
0 1640
0 1600
0 1080
0 1120
0 1080
0 880
0 640
0 640
0 360
0 400
0 400
0 360
0 360
0 360
0 360
0 480
0 480
0 760
0 800
0 800
0 480
0 480
0 360
0 320
0 1160
0 1160
0 1160
0 1240
0 1440
0 1600
0 1440
0 1600
0 1280
0 1120
0 800
0 640
0 680
0 840
0 520
0 400
0 320
0 440
0 320
0 400
0 360
0 440
0 480
0 640
0 760
0 640
0 520
0 480
0 400
0 360
0 320
0 1200
0 1160
0 1160
0 1240
0 1400
0 1560
0 1480
0 1400
0 1280
0 1320
0 880
0 800
0 960
0 880
0 560
0 360
0 360
0 440
0 360
0 400
0 400
0 360
0 400
0 440
0 600
0 600
0 440
0 400
0 360
0 360
0 400
0 1280
0 1240
0 1160
0 1160
0 1160
0 1320
0 1400
0 1520
0 1400
0 1320
0 1160
0 1120
0 1160
0 920
0 640
0 560
0 440
0 400
0 360
0 480
0 440
0 400
0 400
0 440
0 640
0 440
0 480
0 480
0 400
0 360
0 360
0 480
0 1200
0 1200
0 1120
0 1160
0 1240
0 1280
0 1280
0 1440
0 1320
0 1280
0 1120
0 1040
0 880
0 720
0 600
0 480
0 440
0 440
0 440
0 440
0 440
0 400
0 400
0 480
0 480
0 440
0 600
0 520
0 480
0 400
0 400
0 1120
0 1080
0 1080
0 1080
0 1080
0 1160
0 1160
0 1240
0 1160
0 1120
0 1080
0 1120
0 1040
0 800
0 680
0 640
0 480
0 320
0 480
0 440
0 440
0 440
0 440
0 440
0 440
0 560
0 520
0 520
0 560
0 640
0 440
0 440
0 1120
0 960
0 1000
0 1040
0 1040
0 1040
0 1040
0 1080
0 1120
0 1080
0 1080
0 1080
0 1080
0 920
0 760
0 720
0 480
0 400
0 640
0 480
0 480
0 440
0 440
0 440
0 480
0 520
0 640
0 600
0 640
0 640
0 560
0 440
0 1040
0 1040
0 960
0 1000
0 1000
0 1000
0 1040
0 1040
0 1080
0 1120
0 1160
0 1200
0 920
0 1120
0 1000
0 880
0 680
0 640
0 560
0 640
0 480
0 440
0 440
0 440
0 440
0 480
0 640
0 600
0 640
0 680
0 760
0 800
0 520
0 1000
0 1000
0 960
0 960
0 920
0 960
0 960
0 1120
0 1120
0 1120
0 1120
0 1480
0 1240
0 1120
0 1040
0 920
0 720
0 600
0 640
0 640
0 640
0 480
0 520
0 440
0 440
0 480
0 440
0 560
0 520
0 640
0 800
0 920
0 760
0 600
0 1040
0 1040
0 920
0 960
0 1040
0 1040
0 1000
0 1200
0 1200
0 1160
0 1160
0 1440
0 1320
0 1040
0 1080
0 1000
0 920
0 680
0 600
0 640
0 520
0 480
0 480
0 480
0 480
0 520
0 480
0 640
0 600
0 640
0 680
0 920
0 800
0 520
0 1040
0 1160
0 1120
0 920
0 960
0 1080
0 920
0 1240
0 1080
0 1120
0 1200
0 1400
0 1440
0 1560
0 1560
0 600
0 680
0 920
0 640
0 640
0 560
0 640
0 720
0 640
0 480
0 480
0 440
0 640
0 640
0 640
0 640
0 800
0 640
0 640
0 920
0 1040
0 1040
0 1120
0 1040
0 1040
0 600
0 1240
0 1000
0 1200
0 1240
0 1240
0 1360
0 1160
0 920
0 1600
0 600
0 600
0 640
0 600
0 880
0 600
0 920
0 1000
0 920
0 640
0 520
0 680
0 680
0 680
0 640
0 600
0 600
0 520
0 1120
0 1320
0 840
0 840
0 1040
0 1200
0 1080
0 880
0 480
0 1200
0 1160
0 1200
0 1200
0 1240
0 1280
0 1080
0 1560
0 880
0 640
0 680
0 760
0 960
0 1280
0 1040
0 960
0 760
0 800
0 840
0 760
0 720
0 640
0 600
0 480
0 440
0 1000
0 1600
0 1040
0 680
0 1000
0 1320
0 1200
0 960
0 920
0 480
0 1080
0 1160
0 1320
0 1120
0 1320
0 1320
0 1000
0 1040
0 1440
0 1040
0 1840
0 1360
0 1240
0 1480
0 1960
0 1240
0 960
0 920
0 840
0 760
0 640
0 560
0 440
0 400
0 1560
0 1520
0 1560
0 1160
0 640
0 840
0 1040
0 1240
0 1160
0 1120
0 640
0 840
0 1080
0 1280
0 1160
0 1160
0 1480
0 1120
0 1520
0 800
0 1200
0 1120
0 1400
0 1600
0 1600
0 1800
0 920
0 880
0 1440
0 960
0 880
0 760
0 520
0 440
0 960
0 680
0 400
0 400
0 480
0 480
0 1120
0 1520
0 1440
0 1280
0 360
0 1040
0 1160
0 1560
0 1400
0 1200
0 1440
0 1560
0 1320
0 1000
0 1200
0 1080
0 1280
0 1320
0 1560
0 1280
0 1280
0 1120
0 800
0 920
0 1000
0 640
0 440
0 440
0 440
0 440
0 200
0 240
0 200
0 320
0 440
0 720
0 1040
0 1280
0 800
0 480
0 1120
0 1200
0 680
0 1000
0 1600
0 1240
0 1720
0 880
0 1200
0 1120
0 1160
0 1240
0 1320
0 1160
0 1160
0 1200
0 1120
0 1120
0 960
0 920
0 520
0 440
0 -40
0 120
0 80
0 80
0 120
0 280
0 720
0 640
0 1480
0 520
0 360
0 600
0 1160
0 1120
0 1120
0 1040
0 1120
0 1640
0 1160
0 1200
0 1160
0 1240
0 1160
0 1200
0 1240
0 1160
0 1160
0 1120
0 1040
0 1080
0 840
0 600
0 440
0 80
0 120
0 200
0 120
0 160
0 240
0 480
0 360
0 400
0 920
0 1200
0 760
0 520
0 1480
0 480
0 1760
0 1520
0 1240
0 1520
0 1080
0 1080
0 1360
0 1200
0 1160
0 1200
0 1120
0 1080
0 1240
0 1120
0 560
0 120
0 160
0 40
0 400
0 1160
0 640
0 480
0 1200
0 720
0 1200
0 920
0 1440
0 1520
0 1040
0 840
0 1280
0 1400
0 1640
0 1640
0 1760
0 1400
0 1840
0 1560
0 1480
0 560
0 360
0 560
0 720
0 640
0 840
0 640
0 720
0 920
0 320
0 1480
0 640
0 960
0 1400
0 1200
0 960
0 880
0 2160
0 1720
0 720
0 640
0 400
0 400
0 120
0 600
0 680
0 680
0 520
0 480
0 640
0 720
0 600
0 320
0 600
0 1200
0 1240
0 1080
0 1560
0 1480
0 1560
0 2040
0 1320
0 920
0 560
0 80
0 320
0 680
0 440
0 560
0 360
0 320
0 480
0 440
0 160
0 240
0 360
0 520
0 760
0 760
0 920
0 1160
0 720
0 680
0 480
0 560
0 40
0 240
0 440
0 280
0 480
0 360
0 200
0 480
0 160
0 -40
0 40
0 360
0 240
0 280
0 320
0 240
0 240
0 360
0 160
0 320
0 240
0 160
0 120
0 -160
0 -720
0 40
0 120
0 120
0 200
0 200
0 360
0 0
0 80
0 120
0 120
0 40
0 40
5 80
5 80
5 280
5 160
5 80
5 80
5 80
5 160
5 720
5 400
5 160
5 80
5 160
5 440
5 440
5 760
5 480
5 160
5 200
5 160
5 280
5 600
5 480
5 480
5 480
5 280
5 320
5 160
5 320
5 520
5 680
5 440
5 400
5 560
5 320
5 320
5 320
5 360
5 600
5 720
5 440
5 400
5 400
5 440
5 320
5 240
5 240
5 320
5 560
5 480
5 480
5 400
5 400
5 400
5 360
5 240
5 320
5 400
5 440
5 440
5 360
5 400
5 320
5 320
5 240
5 240
5 320
5 400
5 400
5 480
5 320
5 320
5 320
5 120
5 200
5 320
5 360
5 320
5 480
5 440
5 320
5 320
5 160
5 280
5 280
5 360
5 400
5 360
5 360
5 320
5 440
5 80
5 240
5 240
5 400
5 280
5 280
5 280
5 320
5 320
5 320
5 40
5 240
