generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.032,0,0.005,0
50000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.112904,0.0423628,0.0175953,0
100000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.122538,0.0615163,0.0369331,0
150000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.130619,0.0320642,0.00725947,0
200000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.0971758,0.0987739,0.0111072,0
250000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.214573,-0.00228938,0.0517119,0
300000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.126516,0.0593514,0.00592371,0
300000,Monodora_grandidieri-DAG_26,NA,23.8822,0.101775,-0.0570714,0.00688462,0
350000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.463597,-0.03841,0.0380772,0
400000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.0985127,0.0570653,0.0212241,0
450000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.1589,0.0230786,8.7263e-05,0
500000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.100912,0.0279467,0.0150546,0
550000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.153029,0.015276,0.0122885,0
600000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.243513,-0.0153642,0.0119499,0
650000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.102184,0.0895175,0.00229049,0
700000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.201562,-0.00501258,0.0233404,0
750000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.227075,-0.00303531,0.0860126,0
800000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.0990571,0.107754,0.00222368,0
850000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.151347,0.00949133,0.000125484,0
900000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.137048,0.0298291,0.0158704,0
950000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.102316,0.0297386,0.0023742,0
950000,Uvariopsis_solheidi_var_solheidi-COU_856,Uvariopsis_oligocarpa-MER_1380,21.0257,0.680985,-0.0690751,0.0236591,0
1000000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.25416,-0.0180412,0.0117021,0
1050000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.126775,0.0406166,0.0247164,0
1100000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.250866,-0.00967772,0.015663,0
1150000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.283706,-0.0183557,0.0113836,0
1150000,Monodora_junodii-COU_88,NA,23.5649,0.324726,0.0116107,0.154445,0
1150000,Uvariopsis_solheidi_var_solheidi-COU_856,Uvariopsis_oligocarpa-MER_1380,20.5638,0.513335,0.0131304,0.160954,0
1200000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.233391,0.00243882,0.0943094,0
1250000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.135113,0.0228368,0.00821615,0
1250000,Mischogyne_iddii-DAG_24,NA,23.8417,0.128568,0.00275754,0.697102,0
1300000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.156248,0.0070327,0.0105267,0
1350000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.124735,0.0502668,0.013559,0
1400000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.145629,0.0123771,0.0146161,0
1450000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.197704,0.011726,0.0398209,0
1500000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.1162,0.0714626,0.01862,0
1550000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.0976571,0.113388,0.0364952,0
1600000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.117782,0.0232292,0.00201457,0
1650000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.146824,0.0145136,0.0469054,0
1700000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.26175,-0.0234446,0.0497584,0
1750000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.179576,0.0160227,0.0509492,0
1800000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.207096,-0.00618446,0.00195857,0
1850000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.143961,0.0218625,0.0115574,0
1900000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.137035,0.0235627,0.0468371,0
1950000,Monodora_myristica-COU_1031,Uvariodendron_citriodorum-SOS_2219,0,0.0973251,0.0649072,0.0122612,0
