generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.752752,-316.028,1,0
10000,1,2.56031,-237.555,0.348929,0.410759
20000,0,1.02255,-238.159,0.425436,0.37985
30000,0,0.0946049,-246.151,1.24336,0.401953
40000,0,0.810876,-236.284,0.696901,0.40495
50000,0,0.870175,-237.209,0.334513,0.4041
60000,0,1.32673,-240.097,0.173979,0.39914
70000,0,1.16744,-241.264,0.0440422,0.3855
80000,2,1.88897,-237.14,1.57194,0.392867
90000,0,0.137794,-236.841,1.44407,0.4126
100000,0,0.309935,-238.25,0.385956,0.394006
110000,0,1.35687,-236.386,0.0513348,0.4072
120000,0,0.374952,-237.585,1.13036,0.39454
130000,0,0.458027,-238.438,0.702252,0.4042
140000,1,0.157587,-237.119,1.81665,0.4079
150000,0,1.33533,-236.523,0.0408384,0.3868
160000,2,-1.17854,-243.08,2.16858,0.410033
170000,0,0.282806,-238.377,0.855753,0.401
180000,2,1.80078,-238.622,1.53585,0.3967
190000,0,1.42186,-237.145,0.148204,0.39075
200000,0,-1.64267,-236.585,0.994182,0.3847
210000,0,0.462615,-236.618,1.08965,0.395675
220000,1,-0.424661,-233.79,1.53591,0.3803
230000,0,0.917542,-236.419,0.644925,0.396247
240000,1,0.528193,-232.914,2.13331,0.40785
250000,0,1.22155,-238.901,0.226569,0.388375
260000,0,-0.693104,-237.958,2.23268,0.3975
270000,0,1.23773,-237.313,0.300514,0.4023
280000,0,0.603278,-236.84,0.946065,0.38875
290000,0,0.228298,-237.525,1.30975,0.38635
300000,1,0.184529,-237.196,1.49676,0.4103
310000,1,-0.184058,-238.35,2.35529,0.394813
320000,0,0.463524,-239.109,0.703659,0.4035
330000,0,1.37267,-236.842,0.00992714,0.40194
340000,0,0.323304,-236.557,0.114893,0.423925
350000,0,0.308961,-241.712,0.480076,0.399789
360000,0,1.4481,-237.934,0.130291,0.3695
370000,0,1.36641,-237.671,0.205707,0.40184
380000,0,-2.69795,-237.15,3.79288,0.3885
390000,1,-0.281458,-232.574,1.42214,0.402733
400000,0,0.600964,-238.146,0.272306,0.406257
410000,0,0.651926,-241.11,0.753804,0.39
420000,0,0.904455,-238.05,0.55768,0.398925
430000,0,1.25553,-237.386,0.0236241,0.38145
440000,0,1.15654,-239.473,0.408431,0.39375
450000,0,1.12526,-237.742,0.340137,0.398462
460000,0,0.914527,-237.066,0.533012,0.38995
470000,0,1.3472,-238.43,0.115199,0.388887
480000,1,0.588913,-235.666,0.531904,0.4053
490000,0,0.886123,-236.643,0.18429,0.386675
500000,0,1.42691,-239.756,0.0366747,0.393225
510000,0,0.983026,-237.587,0.499642,0.394363
520000,0,0.932103,-239.623,0.33846,0.4005
530000,0,1.38874,-237.858,0.12711,0.4233
540000,0,0.962553,-237.695,0.455619,0.3826
550000,0,0.562093,-236.863,0.965689,0.4043
560000,0,1.13125,-236.578,0.414327,0.4099
570000,1,-0.00795559,-239.442,0.569221,0.3684
