Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-226.965854726638	8	3	1
200	-219.463126925634	7	1	1
300	-220.189694987377	5	1	2
400	-234.667928040386	9	3	1
500	-216.100793326163	5	2	0
600	-222.002246798268	6	1	3
700	-212.733230106685	3	3	2
800	-213.021421917068	3	3	3
900	-218.314227191711	2	2	3
1000	-215.364782588892	2	4	2
1100	-225.305864495089	4	5	3
1200	-209.473507806951	3	3	3
1300	-214.294017277483	5	4	1
1400	-215.964384296746	5	2	1
1500	-216.96528263116	4	4	2
1600	-213.970662812651	3	2	2
1700	-213.188869181879	3	2	2
1800	-220.452782599578	4	1	2
1900	-220.796458487096	4	1	4
2000	-220.652635157321	4	4	2
2100	-212.613413149905	4	1	1
2200	-218.597785264955	5	4	1
2300	-230.81173056106	9	4	1
2400	-220.098021242661	6	2	1
2500	-218.806334860447	6	2	1
2600	-220.335115114452	5	3	1
2700	-214.681568465343	5	2	0
2800	-219.071940594515	7	3	2
2900	-223.62734004507	5	3	0
3000	-224.731511388238	7	1	1
3100	-219.930196920373	6	1	1
3200	-217.191844006934	4	2	1
3300	-226.810392997396	6	4	0
3400	-227.916312889717	7	2	1
3500	-214.400175418064	3	1	2
3600	-221.528309154828	5	3	3
3700	-216.125664689048	4	2	2
3800	-211.824685728515	3	2	3
3900	-210.696936599808	3	2	4
4000	-209.57217794145	3	4	3
4100	-210.272458923299	3	4	3
4200	-211.92129022632	3	3	3
4300	-221.539989213577	4	1	1
4400	-216.094300407291	3	3	3
4500	-223.560007094474	3	2	2
4600	-217.232842442382	4	2	2
4700	-212.643040785769	5	2	1
4800	-216.129114375029	5	3	1
4900	-216.200173714383	4	3	2
5000	-212.05290858743	4	3	2
5100	-212.812924801279	3	2	3
5200	-212.760508855803	4	2	3
5300	-215.33397100748	4	1	1
5400	-217.010075456329	4	3	2
5500	-219.124586064998	3	3	3
5600	-213.547045374125	4	4	2
5700	-216.341767773832	3	3	3
5800	-218.989637962677	4	2	3
5900	-218.623598035054	4	2	2
6000	-214.738509681457	5	3	1
6100	-216.800820121576	6	1	1
6200	-211.223161225969	4	1	1
6300	-216.241269734603	5	3	3
6400	-219.840073574516	6	4	2
6500	-219.252203481218	4	4	2
6600	-216.228456335774	5	1	0
6700	-216.262766270944	5	2	1
6800	-219.978316686032	6	2	2
6900	-214.386522100151	5	2	1
7000	-216.665569628867	4	2	2
7100	-225.660259569471	5	6	2
7200	-223.607418546562	4	6	2
7300	-213.771565457578	3	1	3
7400	-225.351072937806	6	3	1
7500	-216.859028939879	3	3	2
7600	-228.029798514915	5	4	1
7700	-221.336385858728	5	2	2
7800	-215.435161428692	3	2	0
7900	-229.188808408387	7	4	0
8000	-225.335469690244	6	4	1
8100	-224.349863079792	7	8	2
8200	-216.45459066097	5	4	2
8300	-211.931004503549	5	4	2
8400	-218.312407592457	5	2	3
8500	-215.846871336426	6	3	1
8600	-220.229300928089	7	3	1
8700	-218.428279695879	6	4	1
8800	-215.876817750673	5	5	1
8900	-225.124646734064	7	3	1
9000	-225.728711898919	6	2	2
9100	-226.189151679686	4	1	0
9200	-211.240619964463	3	4	3
9300	-219.838828644352	3	5	3
9400	-222.423139510693	2	4	1
9500	-229.698985636718	7	3	1
9600	-221.025938560477	4	5	1
9700	-219.63250595436	3	1	1
9800	-224.519949569647	6	3	0
9900	-229.12124928374	7	1	1
10000	-219.553258727718	3	1	0
10100	-219.945909394509	4	4	1
10200	-219.473148990457	4	1	3
10300	-212.015413200718	3	2	2
10400	-218.260818903974	3	1	2
10500	-223.708756938733	7	3	2
10600	-218.874349414552	3	2	0
10700	-217.280946994085	2	3	2
10800	-222.253486708034	7	3	2
10900	-218.74019927903	5	1	2
11000	-226.076326793108	5	5	2
11100	-218.047445787102	5	3	0
11200	-234.889542554474	8	3	0
11300	-226.719516276156	6	2	1
11400	-221.140997615216	4	3	2
11500	-219.061866791219	6	2	2
11600	-216.344284667166	5	1	2
11700	-218.852229393627	4	2	2
11800	-225.177565599139	4	8	3
11900	-217.725198883927	3	2	3
12000	-216.515247488209	2	3	3
12100	-216.691000257184	3	1	1
12200	-217.305036661799	4	2	1
12300	-221.385992753341	5	2	1
12400	-232.973200394967	8	3	1
12500	-217.100843199089	5	4	1
12600	-215.458989677158	4	3	1
12700	-220.092012632727	4	3	1
12800	-222.810605232215	5	3	1
12900	-226.540580123499	6	3	0
13000	-221.036316446603	4	1	0
13100	-220.303805566346	4	3	1
13200	-220.928626350483	5	1	1
13300	-219.885795814457	6	2	1
13400	-213.917466914079	4	3	1
13500	-218.991210324267	5	3	1
13600	-217.432717481392	5	5	1
13700	-220.589297526052	5	4	2
13800	-220.296171414474	5	3	1
13900	-218.636926675872	8	3	1
14000	-226.070034327474	8	6	1
14100	-215.194567601332	5	3	1
14200	-210.710890356508	5	2	0
14300	-209.480483126155	4	5	0
14400	-214.639542331318	5	2	1
14500	-221.164326389919	7	2	0
