,model,LH,AICc,Lambda,Alpha,Mu,Beta,dAICc
7,BElev,-232.573913887685,469.289004245958,0.00172561755276966,0.00663600069292756,NA,NA,0
8,BElevDConst,-232.63290563147,471.551525548655,0.00293663102556947,0.00588025853119046,-0.000536588853246179,NA,2.26252130269671
1,BConst,-235.750190125542,473.546891878991,0.1796875,NA,NA,NA,4.25788763303268
2,BTime,-235.673795743514,475.488767957615,0.186488104785276,-0.00716819888159081,NA,NA,6.199763711657
3,BDConst,-235.745628573955,475.632433618498,0.179638753140892,NA,8.70152364213596e-08,NA,6.34342937253979
4,BTimeDConst,-235.673809595962,477.633333477637,0.186435954207384,-0.0071012092561209,1.19116972663368e-07,NA,8.3443292316789
5,BConstDTime,-235.745635376932,477.776985039579,0.179652902323419,NA,-2.5975523188495e-07,-0.0499288650658016,8.48798079362024
9,BConstDElev,-235.75018427791,477.786082841535,0.179650074202679,NA,0.080852467856326,-0.0780920613804348,8.49707859557611
6,BDTime,-235.673799764001,479.829527238846,0.18651264432551,-0.00718748180868623,-1.80552461562075e-07,0.0259060408745147,10.5405229928871
10,BDElev,-236.438813134878,481.3595539806,0.267395148576999,-0.000541340488754011,-1.15685335284823e-07,0.00222643673562038,12.0705497346415
