,model,LH,AICc,Lambda,Alpha,Mu,Beta,dAICc
10,BDPercC4,-222.957930008608,454.397787728058,1.80248368752408,-0.0455189587391368,-2.89844695893463,-0.0831862116920404,0
9,BConstDPercC4,-233.26647669381,472.818667673333,0.198951188458177,NA,0.997287296724562,-0.156583104284622,18.4208799452749
1,BConst,-235.750190125542,473.546891878991,0.1796875,NA,NA,NA,19.1491041509327
7,BPercC4,-234.807004658051,473.75518578669,0.242946594679351,-0.00751294673559726,NA,NA,19.3573980586316
2,BTime,-235.673795743514,475.488767957615,0.186488104785276,-0.00716819888159081,NA,NA,21.090980229557
3,BDConst,-235.745628573955,475.632433618498,0.179638753140892,NA,8.70152364213596e-08,NA,21.2346458904398
8,BPercC4DConst,-234.807013569755,475.899741425224,0.242848333214295,-0.00750809828882131,3.07535909822811e-07,NA,21.5019536971656
4,BTimeDConst,-235.673809595962,477.633333477637,0.186435954207384,-0.0071012092561209,1.19116972663368e-07,NA,23.2355457495789
5,BConstDTime,-235.745635376932,477.776985039579,0.179652902323419,NA,-2.5975523188495e-07,-0.0499288650658016,23.3791973115203
6,BDTime,-235.673799764001,479.829527238846,0.18651264432551,-0.00718748180868623,-1.80552461562075e-07,0.0259060408745147,25.4317395107872
